Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R01ED450,1,2,1,2,2,2,2,30.07,10.0,36.23,1,42.07,0,48.43,0
R01ED451,0,4,1,2,1,5,1,31.2,80.0,37.03,80,43.0,15,-997.0,-997
R01ED452,0,2,1,5,1,5,1,31.1,50.0,37.2,50,-997.0,-997,49.47,70
R01ED453,0,2,1,4,1,4,2,30.63,20.0,35.9,25,43.2,25,48.8,30
R01ED454,0,2,1,4,1,4,1,30.83,20.0,36.63,30,-997.0,-997,48.63,30
R01ED455,0,2,1,4,2,5,1,30.9,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED456,0,2,1,1,2,1,2,31.03,20.0,36.4,30,43.2,0,48.23,0
R01ED457,1,2,1,3,1,4,1,31.2,10.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED458,1,2,1,5,1,5,2,30.8,20.0,-997.0,-997,42.83,0,49.0,0
R01ED459,0,2,1,3,1,4,1,30.63,60.0,36.9,60,42.37,80,48.83,80
R01ED460,1,2,1,2,2,2,2,30.47,0.0,36.73,20,42.07,5,48.6,10
R2130Mo002,1,2,1,5,1,5,1,29.93,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo003,1,2,1,4,1,3,2,30.4,40.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo005,1,2,1,2,2,3,1,30.37,25.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo006,1,2,1,4,2,4,2,30.73,0.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo007,0,2,1,4,1,4,1,30.9,30.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo008,0,2,1,5,2,4,2,30.4,0.0,-997.0,-997,-997.0,-997,48.87,40
R2130Mo009,0,2,1,3,1,4,2,30.2,60.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo010,1,2,1,2,1,4,1,30.37,75.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo011,0,2,1,2,2,4,2,30.0,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo012,1,2,1,4,2,4,2,30.07,0.0,-997.0,-997,-997.0,-997,48.43,5
R2130Mo013,0,2,1,4,1,4,1,29.93,20.0,-997.0,-997,-997.0,-997,48.37,60
R2130Mo014,1,2,1,4,1,4,2,30.2,60.0,-997.0,-997,-997.0,-997,48.57,50
R2130Mo015,0,2,1,3,1,5,2,29.8,70.0,-997.0,-997,-997.0,-997,48.53,50
R2130Mo016,1,2,1,4,2,4,2,30.37,50.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo017,0,2,1,4,1,4,1,29.8,80.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo018,0,2,1,1,2,2,2,30.6,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo019,0,2,1,5,2,4,2,30.5,0.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo020,0,2,1,4,2,3,1,29.93,80.0,-997.0,-997,-997.0,-997,48.67,100
R2130Mo021,0,2,1,3,2,3,2,30.27,30.0,-997.0,-997,-997.0,-997,48.73,20
R2130Mo022,1,2,1,3,2,2,2,29.87,60.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo023,0,2,1,4,2,3,2,29.8,20.0,-997.0,-997,-997.0,-997,48.53,20
R2130Mo024,1,6,1,4,3,2,2,30.27,28.5,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo026,1,2,1,4,1,4,2,30.5,15.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo027,0,2,1,4,1,3,1,30.13,60.0,-997.0,-997,-997.0,-997,48.33,80
