Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30
HDPM087,0.0,3.0,1.0,,,,,30.53,20.0
HDPM088,0.0,2.0,1.0,,,,,30.73,85.0
HDPM089,,,,,,,,,
HDPM090,1.0,2.0,1.0,,,,,31.2,80.0
HDPM091,1.0,2.0,1.0,,,,,31.33,90.0
HDPM092,1.0,2.0,1.0,,,,,31.0,30.0
HDPM093,0.0,2.0,1.0,,,,,30.7,50.0
HDPM094,1.0,2.0,1.0,,,,,30.6,80.0
HDPM095,,,,,,,,,
HDPM096,0.0,6.0,1.0,,,,,31.06,100.0
HDPM097,1.0,2.0,1.0,,,,,30.7,0.0
HDPM098,1.0,2.0,1.0,,,,,30.63,50.0
HDPM099,0.0,2.0,1.0,,,,,31.4,90.0
HDPM100,1.0,2.0,1.0,,,,,31.43,80.0
HDPM101,,,,,,,,,
HDPM104,,,,,,,,,
HDPM105,,,,,,,,,
HDPM106,,,,,,,,,
HDPM107,0.0,6.0,0.0,,,,,31.36,100.0
HDPM108,,,,,,,,,
HDPM110,0.0,1.0,1.0,,,,,31.1,50.0
HDPM111,0.0,1.0,0.0,,,,,30.8,100.0
HDPM112,0.0,4.0,0.0,,,,,30.63,100.0
HDPM113,1.0,4.0,0.0,,,,,30.8,100.0
HDPM114,1.0,4.0,0.0,,,,,30.8,100.0
HDPM115,0.0,4.0,0.0,,,,,30.8,100.0
HDPM116,1.0,4.0,0.0,,,,,31.46,100.0
HDPM117,1.0,4.0,0.0,,,,,30.73,100.0
HDPM118,1.0,6.0,0.0,,,,,31.46,99.0
HDPM119,,,,,,,,,
HDPM120,1.0,4.0,0.0,,,,,30.56,100.0
HDPM121,1.0,5.0,0.0,,,,,30.56,100.0
HDPM122,1.0,4.0,0.0,,,,,31.2,100.0
HDPM123,1.0,4.0,0.0,,,,,31.23,100.0
HDPM131,0.0,2.0,1.0,,,,,31.36,80.0
HDPM132,0.0,2.0,1.0,,,,,31.56,10.0
HDPM133,0.0,2.0,1.0,,,,,,
HDPM134,0.0,2.0,1.0,,,,,30.96,60.0
HDPM135,1.0,2.0,1.0,,,,,30.6,85.0
HDPM136,0.0,2.0,1.0,,,,,31.0,0.0
HDPM137,1.0,2.0,1.0,,,,,30.56,20.0
HDPM138,1.0,2.0,1.0,,,,,31.53,50.0
HDPM139,0.0,2.0,1.0,,,,,30.7,50.0
HDPM140,1.0,4.0,1.0,,,,,31.2,75.0
HDPM141,,,,,,,,,
HDPM151,,,,,,,,,
HDPM153,,,,,,,,,
HDPM156,1.0,1.0,0.0,,,,,30.7,100.0
HDPM157,,,,,,,,,
