item,itemID,type,choices,complexity_category,definition,gloss
lion,item_67,ANIMALS (Real or toy),produces; doesn't produce,,lion,lion
luch,item_68,ANIMALS (Real or toy),produces; doesn't produce,,luch,mouse
mouse,item_69,ANIMALS (Real or toy),produces; doesn't produce,,mouse,mouse
mactíre,item_70,ANIMALS (Real or toy),produces; doesn't produce,,mactíre,wolf
wolf,item_71,ANIMALS (Real or toy),produces; doesn't produce,,wolf,wolf
madrarua,item_72,ANIMALS (Real or toy),produces; doesn't produce,,madrarua_sionnach,fox
fox,item_73,ANIMALS (Real or toy),produces; doesn't produce,,fox,fox
madra,item_74,ANIMALS (Real or toy),produces; doesn't produce,,madra_gadhar,dog
dog,item_75,ANIMALS (Real or toy),produces; doesn't produce,,dog,dog
moncaí,item_76,ANIMALS (Real or toy),produces; doesn't produce,,moncaí_monkey,monkey
muc,item_77,ANIMALS (Real or toy),produces; doesn't produce,,muc,pig
pig,item_78,ANIMALS (Real or toy),produces; doesn't produce,,pig,pig
nathair,item_79,ANIMALS (Real or toy),produces; doesn't produce,,nathair,snake
snake,item_80,ANIMALS (Real or toy),produces; doesn't produce,,snake,snake
piongain,item_81,ANIMALS (Real or toy),produces; doesn't produce,,piongain,penguin
penguin,item_82,ANIMALS (Real or toy),produces; doesn't produce,,penguin,penguin
piscín,item_83,ANIMALS (Real or toy),produces; doesn't produce,,piscín_acaitín,kitten
kitten,item_84,ANIMALS (Real or toy),produces; doesn't produce,,kitten_apussycat,kitten
préachán,item_85,ANIMALS (Real or toy),produces; doesn't produce,,préachán,crow
crow,item_86,ANIMALS (Real or toy),produces; doesn't produce,,crow,crow
séabra,item_87,ANIMALS (Real or toy),produces; doesn't produce,,séabra,zebra
zebra,item_88,ANIMALS (Real or toy),produces; doesn't produce,,zebra,zebra
seilide,item_89,ANIMALS (Real or toy),produces; doesn't produce,,seilide_seilmide,snail
snail,item_90,ANIMALS (Real or toy),produces; doesn't produce,,snail,snail
sicín,item_91,ANIMALS (Real or toy),produces; doesn't produce,,sicín,chicken
