child_ID,age,input_words,words_known,sample_size,words_know(regularization),bilingual
R01ED459,36.0,22500000.0,524.5,558.0,720.0,1
R2130Mo008,36.0,22500000.0,80.0,558.0,109.8,1
R2130Mo013,36.0,22500000.0,459.5,558.0,630.8,1
R2130Mo014,36.0,22500000.0,504.0,558.0,691.9,1
R2130Mo015,36.0,22500000.0,521.0,558.0,715.2,1
R2130Mo020,36.0,22500000.0,506.5,558.0,695.3,1
R2130Mo021,36.0,22500000.0,185.5,558.0,254.6,1
R2130Mo027,36.0,22500000.0,452.5,558.0,621.2,1
R2130Mo032,36.0,22500000.0,487.5,558.0,669.2,1
R2130Mo033,36.0,22500000.0,478.5,558.0,656.9,1
R2130Mo035,36.0,22500000.0,503.0,558.0,690.5,1
R2130Mo037,36.0,22500000.0,108.5,558.0,148.9,1
R2130Mo038,36.0,22500000.0,526.0,558.0,722.1,1
R2130Mo040,36.0,22500000.0,529.0,558.0,726.2,1
R2130Mo041,36.0,22500000.0,440.0,558.0,604.0,1
R2130Mo043,36.0,22500000.0,548.5,558.0,753.0,1
R2130Mo044,36.0,22500000.0,531.5,558.0,729.6,1
R2130Mo045,36.0,22500000.0,249.5,558.0,342.5,1
R2130Mo046,36.0,22500000.0,503.5,558.0,691.2,1
R2130Mo047,36.0,22500000.0,534.0,558.0,733.1,1
R2130Mo050,36.0,22500000.0,516.0,558.0,708.3,1
R2130Mo052,36.0,22500000.0,514.5,558.0,706.3,1
R2130Mo054,36.0,22500000.0,536.5,558.0,736.5,1
R2130Mo055,36.0,22500000.0,447.5,558.0,614.3,1
R2130Mo056,36.0,22500000.0,474.0,558.0,650.7,1
R2130Mo062,36.0,22500000.0,151.5,558.0,208.0,1
R2130Mo067,36.0,22500000.0,549.0,558.0,753.6,1
R2130Mo069,36.0,22500000.0,538.0,558.0,738.5,1
R2130Mo074,36.0,22500000.0,545.0,558.0,748.2,1
R2130Mo080,36.0,22500000.0,204.5,558.0,280.7,1
R2130Mo086,36.0,22500000.0,460.5,558.0,632.2,1
R2130Mo087,36.0,22500000.0,530.0,558.0,727.6,1
R2130Mo088,36.0,22500000.0,500.0,558.0,686.4,1
R2130Mo092,36.0,22500000.0,492.0,558.0,675.4,1
R2130Mo093,36.0,22500000.0,492.0,558.0,675.4,1
R2130Mo094,36.0,22500000.0,485.0,558.0,665.8,1
R2130Mo095,36.0,22500000.0,278.0,558.0,381.6,1
R2130Mo097,36.0,22500000.0,548.0,558.0,752.3,1
R2130Mo101,36.0,22500000.0,537.5,558.0,737.9,1
R2130Mo102,36.0,22500000.0,509.0,558.0,698.7,1
R2130Mo103,36.0,22500000.0,427.0,558.0,586.2,1
R2130Mo104,36.0,22500000.0,316.0,558.0,433.8,1
R2130Mo105,36.0,22500000.0,167.0,558.0,229.3,1
R2130Mo107,36.0,22500000.0,315.5,558.0,433.1,1
R2130Mo108,36.0,22500000.0,213.0,558.0,292.4,1
R2130Mo109,36.0,22500000.0,372.5,558.0,511.4,1
R2130Mo111,36.0,22500000.0,299.5,558.0,411.1,1
R2130Mo112,36.0,22500000.0,251.5,558.0,345.2,1
R2130Mo114,36.0,22500000.0,261.0,558.0,358.3,1
R2130Mo116,36.0,22500000.0,405.5,558.0,556.7,1
R2130Mo117,36.0,22500000.0,335.0,558.0,459.9,1
R2130Mo118,36.0,22500000.0,425.0,558.0,583.4,1
R2130Mo122,36.0,22500000.0,279.5,558.0,383.7,1
R2130Mo123,36.0,22500000.0,172.0,558.0,236.1,1
R2130Mo128,36.0,22500000.0,236.5,558.0,324.7,1
R2130Mo129,36.0,22500000.0,290.5,558.0,398.8,1
R2130Mo132,36.0,22500000.0,381.5,558.0,523.7,1
R2130Mo133,36.0,22500000.0,270.0,558.0,370.6,1
R2130Mo135,36.0,22500000.0,211.5,558.0,290.3,1
R2130Mo136,36.0,22500000.0,447.0,558.0,613.6,1
R2130Mo137,36.0,22500000.0,293.0,558.0,402.2,1
R2130Mo138,36.0,22500000.0,535.5,558.0,735.1,1
R2130Mo139,36.0,22500000.0,321.0,558.0,440.7,1
R2130Mo141,36.0,22500000.0,450.5,558.0,618.4,1
R2130Mo143,36.0,22500000.0,322.5,558.0,442.7,1
R2130Mo144,36.0,22500000.0,283.5,558.0,389.2,1
R2130Mo145,36.0,22500000.0,191.5,558.0,262.9,1
HDPM051,30.0,18750000.0,477.5,558.0,655.5,1
HDPM052,30.0,18750000.0,545.0,558.0,748.2,1
HDPM054,30.0,18750000.0,228.5,558.0,313.7,1
HDPM056,30.0,18750000.0,215.0,558.0,295.1,1
HDPM057,30.0,18750000.0,226.5,558.0,310.9,1
HDPM058,30.0,18750000.0,165.0,558.0,226.5,1
HDPM059,30.0,18750000.0,62.5,558.0,85.8,1
HDPM060????,30.0,18750000.0,257.5,558.0,353.5,1
HDPM061,30.0,18750000.0,491.0,558.0,674.0,1
HDPM062,30.0,18750000.0,159.5,558.0,219.0,1
HDPM063,30.0,18750000.0,301.0,558.0,413.2,1
HDPM064,30.0,18750000.0,493.0,558.0,676.8,1
HDPM065,30.0,18750000.0,428.0,558.0,587.5,1
