child_ID,count,unique,top,freq
R01ED419_42.0,558.0,3.0,0.0,410.0
R01ED420_42.0,558.0,3.0,1.0,523.0
R01ED421_42.0,558.0,3.0,1.0,533.0
R01ED422_42.0,558.0,3.0,1.0,434.0
R01ED423_42.0,558.0,3.0,1.0,316.0
R01ED424_42.0,558.0,3.0,1.0,395.0
R01ED429_42.0,558.0,3.0,1.0,400.0
R01ED432_42.0,558.0,3.0,1.0,414.0
R01ED435_42.0,558.0,3.0,1.0,329.0
R01ED436_42.0,558.0,3.0,1.0,522.0
R01ED439_42.0,558.0,3.0,0.0,395.0
R01ED440_42.0,558.0,3.0,1.0,359.0
R01ED441_42.0,558.0,3.0,0.0,444.0
R01ED443_42.0,558.0,3.0,1.0,406.0
R01ED448_42.0,558.0,3.0,1.0,494.0
R01ED449_42.0,558.0,3.0,1.0,520.0
R01ED450_42.0,558.0,3.0,0.0,341.0
R01ED453_42.0,558.0,3.0,1.0,489.0
R01ED454_42.0,558.0,3.0,1.0,389.0
R01ED459_42.0,558.0,3.0,1.0,521.0
R2130Mo008_42.0,558.0,2.0,0.0,478.0
R2130Mo013_42.0,558.0,3.0,1.0,456.0
R2130Mo014_42.0,558.0,3.0,1.0,501.0
R2130Mo015_42.0,558.0,2.0,1.0,520.0
R2130Mo020_42.0,558.0,3.0,1.0,503.0
R2130Mo021_42.0,558.0,3.0,0.0,371.0
R2130Mo027_42.0,558.0,3.0,1.0,449.0
R2130Mo032_42.0,558.0,3.0,1.0,484.0
R2130Mo033_42.0,558.0,3.0,1.0,475.0
R2130Mo035_42.0,558.0,2.0,1.0,502.0
R2130Mo037_42.0,558.0,3.0,0.0,449.0
R2130Mo038_42.0,558.0,3.0,1.0,524.0
R2130Mo040_42.0,558.0,3.0,1.0,526.0
R2130Mo041_42.0,558.0,3.0,1.0,436.0
R2130Mo043_42.0,558.0,3.0,1.0,546.0
R2130Mo044_42.0,558.0,3.0,1.0,529.0
R2130Mo045_42.0,558.0,3.0,0.0,307.0
R2130Mo046_42.0,558.0,3.0,1.0,501.0
R2130Mo047_42.0,558.0,3.0,1.0,531.0
R2130Mo050_42.0,558.0,3.0,1.0,513.0
R2130Mo052_42.0,558.0,3.0,1.0,511.0
R2130Mo054_42.0,558.0,3.0,1.0,534.0
R2130Mo055_42.0,558.0,3.0,1.0,445.0
R2130Mo056_42.0,558.0,3.0,1.0,472.0
R2130Mo062_42.0,558.0,3.0,0.0,406.0
R2130Mo067_42.0,558.0,3.0,1.0,545.0
R2130Mo069_42.0,558.0,3.0,1.0,535.0
R2130Mo074_42.0,558.0,3.0,1.0,542.0
R2130Mo080_42.0,558.0,3.0,0.0,353.0
R2130Mo086_42.0,558.0,3.0,1.0,457.0
R2130Mo087_42.0,558.0,3.0,1.0,527.0
R2130Mo088_42.0,558.0,3.0,1.0,497.0
R2130Mo092_42.0,558.0,3.0,1.0,489.0
R2130Mo093_42.0,558.0,3.0,1.0,489.0
R2130Mo094_42.0,558.0,3.0,1.0,482.0
R2130Mo095_42.0,558.0,3.0,0.0,280.0
R2130Mo097_42.0,558.0,3.0,1.0,544.0
R2130Mo101_42.0,558.0,3.0,1.0,534.0
R2130Mo102_42.0,558.0,3.0,1.0,506.0
R2130Mo103_42.0,558.0,3.0,1.0,423.0
R2130Mo104_42.0,558.0,3.0,1.0,314.0
R2130Mo105_42.0,558.0,3.0,0.0,390.0
R2130Mo107_42.0,558.0,3.0,1.0,313.0
R2130Mo108_42.0,558.0,3.0,0.0,345.0
R2130Mo109_42.0,558.0,3.0,1.0,370.0
R2130Mo111_42.0,558.0,3.0,1.0,299.0
R2130Mo112_42.0,558.0,3.0,0.0,306.0
R2130Mo114_42.0,558.0,3.0,0.0,295.0
R2130Mo116_42.0,558.0,3.0,1.0,403.0
R2130Mo117_42.0,558.0,3.0,1.0,333.0
R2130Mo118_42.0,558.0,3.0,1.0,421.0
R2130Mo122_42.0,558.0,3.0,0.0,278.0
R2130Mo123_42.0,558.0,3.0,0.0,386.0
R2130Mo128_42.0,558.0,3.0,0.0,321.0
R2130Mo129_42.0,558.0,3.0,1.0,289.0
R2130Mo132_42.0,558.0,3.0,1.0,379.0
R2130Mo133_42.0,558.0,3.0,0.0,286.0
R2130Mo135_42.0,558.0,3.0,0.0,345.0
R2130Mo136_42.0,558.0,3.0,1.0,445.0
R2130Mo137_42.0,558.0,3.0,1.0,291.0
R2130Mo138_42.0,558.0,3.0,1.0,532.0
R2130Mo139_42.0,558.0,3.0,1.0,319.0
R2130Mo141_42.0,558.0,3.0,1.0,450.0
R2130Mo143_42.0,558.0,3.0,1.0,321.0
R2130Mo144_42.0,558.0,3.0,1.0,281.0
R2130Mo145_42.0,558.0,3.0,0.0,365.0
R01ED400_30.0,558.0,3.0,1.0,486.0
R01ED402_30.0,558.0,3.0,1.0,490.0
R01ED403_30.0,558.0,3.0,1.0,547.0
R01ED408_30.0,558.0,3.0,1.0,373.0
R01ED409_30.0,558.0,3.0,1.0,544.0
