,age_15,age_16,age_17,age_18,age_19,age_20
Subject,"[418, 425]","[401, 408, 410, 411, 415, 420, 423, 424, 428, 429, 469]","[402, 406, 412, 426, 427, 431, 437, 442, 444, 445, 447, 453, 457, 459, 460, 462, 463, 465, 470]","[422, 430, 432, 434, 435, 436, 441, 446, 448, 450, 451, 452, 454, 456, 461, 464, 466, 467, 468, 471, 472]","[404, 439, 443, 449, 455, 458]","[433, 438]"
Age at English Visit,,,,,,
baa baa,0.0,0.27,0.47,0.38,0.33,0.0
choo choo,0.0,0.18,0.32,0.38,0.33,0.0
cockadoodledoo,0.0,0.0,0.11,0.05,0.17,0.0
grrr,0.0,0.45,0.53,0.38,0.67,0.5
meow,0.0,0.27,0.37,0.52,0.33,1.0
moo,0.5,0.36,0.42,0.67,0.33,1.0
ouch,0.0,0.45,0.21,0.38,0.33,0.0
quack quack,0.0,0.55,0.32,0.29,0.17,0.5
uh oh,0.5,0.82,0.37,0.81,1.0,0.5
vroom,0.0,0.45,0.53,0.52,0.5,0.0
woof woof,0.0,0.64,0.53,0.52,1.0,1.0
yum yum,0.0,0.36,0.32,0.57,0.83,0.0
animal,0.0,0.09,0.0,0.1,0.0,0.0
bear,0.0,0.09,0.05,0.14,0.17,0.0
bee,0.0,0.0,0.11,0.05,0.17,0.0
bird,0.0,0.09,0.16,0.29,0.33,0.0
bug,0.0,0.09,0.0,0.1,0.0,0.0
bunny,0.0,0.0,0.11,0.05,0.33,0.0
butterfly,0.0,0.09,0.05,0.0,0.33,0.0
cat,0.0,0.09,0.37,0.19,0.33,0.0
chicken ,0.0,0.09,0.0,0.0,0.0,0.0
cow,0.0,0.18,0.26,0.1,0.17,0.5
deer,0.0,0.09,0.0,0.0,0.0,0.0
dog,0.5,0.36,0.37,0.38,0.67,0.5
donkey,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.0,0.09,0.26,0.19,0.33,0.0
elephant,0.0,0.0,0.16,0.14,0.0,0.0
fish ,0.0,0.18,0.26,0.24,0.5,0.0
frog,0.0,0.09,0.05,0.0,0.33,0.0
giraffe,0.0,0.09,0.0,0.0,0.17,0.0
goose,0.0,0.0,0.0,0.0,0.0,0.0
horse,0.0,0.09,0.0,0.1,0.0,0.0
kitty,0.0,0.09,0.26,0.1,0.17,0.0
lamb,0.0,0.0,0.0,0.05,0.0,0.0
lion,0.0,0.18,0.11,0.05,0.33,0.0
monkey,0.0,0.09,0.16,0.05,0.17,0.0
mouse,0.0,0.0,0.0,0.05,0.0,0.0
owl,0.0,0.09,0.0,0.1,0.0,0.0
penguin,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.18,0.21,0.05,0.0,0.0
pony,0.0,0.0,0.0,0.05,0.0,0.0
puppy,0.0,0.09,0.0,0.1,0.33,0.0
sheep,0.0,0.09,0.05,0.05,0.0,0.0
squirrel,0.0,0.0,0.0,0.1,0.0,0.0
teddy bear,0.0,0.09,0.11,0.1,0.17,0.0
tiger,0.0,0.0,0.05,0.0,0.0,0.0
