,age_15,age_16,age_17,age_18,age_19,age_20
turkey,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.05,0.05,0.33,0.5
airplane,0.0,0.09,0.11,0.1,0.0,0.0
bicycle,0.0,0.0,0.11,0.14,0.17,0.0
bus,0.0,0.27,0.21,0.19,0.5,0.5
car,0.0,0.27,0.42,0.33,0.5,0.0
firetruck,0.0,0.0,0.0,0.05,0.17,0.0
motorcycle,0.0,0.0,0.0,0.05,0.0,0.0
stroller,0.0,0.0,0.05,0.05,0.17,0.0
train,0.0,0.09,0.16,0.24,0.17,0.0
truck,0.0,0.09,0.26,0.19,0.17,0.0
ball,0.0,0.55,0.53,0.71,1.0,0.5
balloon,0.0,0.18,0.37,0.24,0.67,0.0
block,0.0,0.18,0.05,0.1,0.17,0.0
book,0.5,0.45,0.37,0.33,0.67,0.0
bubbles,0.0,0.09,0.32,0.19,0.33,0.0
doll,0.0,0.0,0.16,0.05,0.0,0.0
pen,0.0,0.0,0.05,0.0,0.0,0.0
toy,0.0,0.09,0.05,0.1,0.0,0.0
apple,0.0,0.36,0.26,0.48,0.5,0.0
banana,0.0,0.73,0.53,0.67,0.83,0.5
bread,0.0,0.09,0.16,0.19,0.17,0.0
butter,0.0,0.09,0.0,0.05,0.0,0.0
cake,0.0,0.09,0.0,0.0,0.0,0.0
candy,0.0,0.09,0.0,0.1,0.0,0.0
carrots,0.0,0.27,0.16,0.0,0.17,0.0
cereal,0.0,0.09,0.11,0.14,0.17,0.5
cheerios,0.0,0.09,0.16,0.1,0.0,0.0
cheese,0.0,0.18,0.32,0.24,0.33,0.5
chicken .1,0.0,0.09,0.11,0.05,0.0,0.0
coffee,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0,0.18,0.26,0.33,0.5,0.0
cracker,0.0,0.09,0.11,0.1,0.17,0.0
drink ,0.0,0.09,0.05,0.19,0.0,0.0
egg,0.0,0.09,0.05,0.05,0.0,0.0
fish .1,0.0,0.09,0.11,0.0,0.33,0.0
food,0.0,0.09,0.05,0.05,0.17,0.0
ice cream,0.0,0.09,0.0,0.0,0.0,0.0
juice,0.0,0.27,0.32,0.43,0.67,0.0
meat,0.0,0.09,0.11,0.0,0.0,0.0
milk,0.0,0.36,0.26,0.38,0.67,0.5
noodles,0.0,0.0,0.0,0.05,0.0,0.0
orange (food),0.0,0.09,0.16,0.0,0.33,0.0
peas,0.0,0.09,0.05,0.05,0.0,0.0
pizza,0.0,0.09,0.11,0.1,0.33,0.5
raisin,0.0,0.09,0.05,0.05,0.0,0.0
spaghetti,0.0,0.0,0.11,0.1,0.0,0.0
toast,0.0,0.09,0.11,0.1,0.33,0.0
water (beverage),0.0,0.18,0.21,0.29,0.33,0.0
beads,0.0,0.0,0.0,0.0,0.0,0.0
bib,0.0,0.09,0.26,0.14,0.0,0.0
boots,0.0,0.09,0.26,0.19,0.0,0.0
button,0.0,0.09,0.16,0.1,0.0,0.0
coat,0.0,0.09,0.16,0.0,0.0,0.0
diaper,0.0,0.18,0.11,0.05,0.33,0.0
dress,0.0,0.0,0.05,0.05,0.0,0.0
hat,0.0,0.09,0.21,0.29,0.33,0.0
jacket,0.0,0.09,0.05,0.1,0.0,0.0
jeans,0.0,0.09,0.11,0.0,0.0,0.0
necklace,0.0,0.0,0.0,0.0,0.0,0.0
pajamas,0.0,0.09,0.11,0.1,0.17,0.0
pants,0.0,0.09,0.11,0.1,0.0,0.0
shirt,0.0,0.09,0.11,0.1,0.0,0.0
shoe,0.0,0.09,0.37,0.38,0.5,0.0
shorts,0.0,0.09,0.05,0.0,0.0,0.0
sock,0.0,0.09,0.32,0.24,0.0,0.0
sweater,0.0,0.09,0.0,0.05,0.0,0.0
zipper,0.0,0.09,0.0,0.05,0.0,0.0
arm,0.0,0.09,0.11,0.05,0.0,0.0
belly button,0.0,0.09,0.16,0.14,0.0,0.0
cheek,0.0,0.09,0.0,0.0,0.0,0.0
ear,0.0,0.09,0.16,0.29,0.0,0.0
eye,0.0,0.09,0.21,0.29,0.17,0.0
face,0.0,0.09,0.05,0.1,0.0,0.0
foot,0.0,0.09,0.21,0.24,0.0,0.0
finger,0.0,0.09,0.05,0.05,0.0,0.0
hair,0.0,0.09,0.16,0.1,0.0,0.0
hand,0.0,0.09,0.05,0.1,0.17,0.0
head,0.0,0.18,0.11,0.1,0.0,0.0
knee,0.0,0.09,0.05,0.14,0.0,0.0
leg,0.0,0.09,0.0,0.0,0.0,0.0
mouth,0.0,0.09,0.26,0.24,0.0,0.0
nose,0.0,0.18,0.32,0.52,0.33,0.5
owie/boo boo,0.0,0.18,0.32,0.43,0.5,0.0
tooth,0.0,0.09,0.16,0.19,0.17,0.0
toe,0.0,0.09,0.05,0.19,0.0,0.0
tongue,0.0,0.09,0.0,0.0,0.0,0.0
tummy,0.0,0.09,0.16,0.1,0.33,0.0
bathroom,0.0,0.09,0.05,0.0,0.33,0.0
bathtub,0.0,0.27,0.21,0.0,0.0,0.0
bed,0.0,0.09,0.11,0.05,0.17,0.0
bedroom,0.0,0.09,0.0,0.0,0.0,0.0
chair,0.0,0.09,0.11,0.14,0.17,0.0
couch,0.0,0.0,0.0,0.0,0.0,0.0
crib,0.0,0.09,0.0,0.0,0.17,0.0
door,0.0,0.09,0.16,0.1,0.33,0.0
drawer,0.0,0.0,0.0,0.0,0.0,0.0
garage,0.0,0.09,0.0,0.0,0.0,0.0
high chair,0.0,0.09,0.0,0.0,0.0,0.0
kitchen,0.0,0.09,0.0,0.05,0.0,0.0
living room,0.0,0.09,0.0,0.0,0.0,0.0
oven,0.0,0.09,0.0,0.0,0.0,0.0
play pen,0.0,0.0,0.0,0.0,0.0,0.0
potty,0.0,0.09,0.11,0.14,0.17,0.0
refrigerator,0.0,0.09,0.0,0.0,0.0,0.0
rocking chair,0.0,0.0,0.0,0.0,0.0,0.0
sink,0.0,0.09,0.0,0.0,0.0,0.0
stairs,0.0,0.09,0.05,0.05,0.17,0.0
stove,0.0,0.09,0.0,0.0,0.0,0.0
table,0.0,0.09,0.0,0.0,0.33,0.0
TV,0.0,0.09,0.05,0.1,0.17,0.0
window,0.0,0.09,0.0,0.0,0.0,0.0
blanket,0.0,0.09,0.0,0.19,0.17,0.0
bottle,0.0,0.09,0.26,0.19,0.33,0.0
bowl,0.0,0.09,0.11,0.1,0.33,0.0
box,0.0,0.09,0.05,0.1,0.17,0.0
broom,0.0,0.09,0.0,0.1,0.17,0.0
brush,0.0,0.09,0.11,0.0,0.17,0.0
clock,0.0,0.09,0.16,0.1,0.0,0.0
comb,0.0,0.09,0.0,0.1,0.0,0.0
cup,0.0,0.09,0.16,0.1,0.33,0.0
dish,0.0,0.09,0.0,0.0,0.0,0.0
fork,0.0,0.09,0.11,0.05,0.0,0.0
glass,0.0,0.09,0.0,0.0,0.0,0.0
glasses,0.0,0.0,0.0,0.05,0.0,0.0
hammer,0.0,0.0,0.0,0.0,0.0,0.0
keys,0.0,0.09,0.32,0.14,0.17,0.5
lamp,0.0,0.0,0.0,0.0,0.0,0.0
light,0.0,0.09,0.21,0.1,0.33,0.0
medicine,0.0,0.0,0.0,0.0,0.0,0.0
money,0.0,0.09,0.0,0.1,0.0,0.0
paper,0.0,0.09,0.0,0.05,0.0,0.0
penny,0.0,0.0,0.0,0.0,0.0,0.0
picture,0.0,0.0,0.05,0.0,0.17,0.0
pillow,0.0,0.0,0.05,0.1,0.33,0.0
plant,0.0,0.0,0.0,0.05,0.0,0.0
plate,0.0,0.09,0.0,0.0,0.17,0.0
purse,0.0,0.0,0.11,0.0,0.0,0.0
radio,0.0,0.0,0.0,0.0,0.0,0.0
scissors,0.0,0.0,0.0,0.0,0.0,0.0
soap,0.0,0.09,0.05,0.0,0.0,0.0
spoon,0.0,0.09,0.11,0.14,0.33,0.0
telephone,0.0,0.27,0.21,0.19,0.17,0.0
toothbrush,0.0,0.18,0.05,0.0,0.0,0.0
towel,0.0,0.09,0.0,0.0,0.0,0.0
trash,0.0,0.0,0.0,0.0,0.0,0.0
vacuum,0.0,0.09,0.0,0.05,0.0,0.0
watch,0.0,0.0,0.0,0.1,0.0,0.0
backyard,0.0,0.0,0.0,0.0,0.17,0.0
beach,0.0,0.0,0.0,0.0,0.0,0.0
church,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.09,0.11,0.05,0.33,0.0
garden,0.0,0.0,0.0,0.0,0.0,0.0
home,0.0,0.09,0.0,0.05,0.17,0.0
house,0.0,0.09,0.0,0.05,0.0,0.0
moon,0.0,0.0,0.05,0.19,0.17,0.0
outside,0.0,0.09,0.05,0.14,0.33,0.0
park,0.0,0.27,0.21,0.1,0.17,0.0
party,0.0,0.0,0.0,0.0,0.0,0.0
pool,0.0,0.0,0.11,0.14,0.17,0.0
rain,0.0,0.0,0.0,0.05,0.0,0.0
rock,0.0,0.0,0.05,0.0,0.0,0.0
school,0.0,0.0,0.0,0.05,0.0,0.0
shovel,0.0,0.0,0.0,0.05,0.0,0.0
sky,0.0,0.0,0.0,0.0,0.0,0.0
slide (object),0.0,0.0,0.05,0.0,0.17,0.0
snow,0.0,0.0,0.05,0.1,0.0,0.0
star,0.0,0.0,0.05,0.05,0.17,0.0
store,0.0,0.09,0.0,0.0,0.0,0.0
sun,0.0,0.09,0.05,0.0,0.17,0.0
swing (object),0.0,0.0,0.16,0.0,0.0,0.0
tree,0.0,0.09,0.11,0.14,0.0,0.0
water (not beverage),0.0,0.18,0.21,0.19,0.5,0.0
work (place),0.0,0.0,0.0,0.0,0.0,0.0
zoo,0.0,0.0,0.05,0.0,0.0,0.0
aunt,0.0,0.09,0.11,0.1,0.0,0.0
baby,0.0,0.36,0.42,0.57,0.5,0.0
babysitter,0.0,0.0,0.0,0.0,0.0,0.0
babysitter's name,0.0,0.09,0.11,0.1,0.17,0.0
boy,0.0,0.0,0.05,0.0,0.0,0.0
brother,0.0,0.09,0.05,0.05,0.0,0.0
child,0.0,0.0,0.0,0.0,0.0,0.0
daddy,0.0,0.45,0.68,0.76,0.67,1.0
girl,0.0,0.0,0.05,0.0,0.0,0.0
grandma,0.0,0.64,0.37,0.71,0.83,0.0
grandpa,0.0,0.45,0.37,0.52,0.5,0.0
lady,0.0,0.0,0.0,0.0,0.0,0.0
man,0.0,0.0,0.0,0.0,0.0,0.0
mommy,0.0,0.64,0.63,0.81,0.83,1.0
child's own name,0.0,0.18,0.11,0.24,0.33,0.5
people,0.0,0.0,0.05,0.0,0.0,0.0
person,0.0,0.0,0.0,0.0,0.0,0.0
sister,0.0,0.18,0.0,0.1,0.33,0.0
teacher,0.0,0.0,0.0,0.0,0.0,0.0
uncle,0.0,0.09,0.05,0.05,0.0,0.0
bath,0.0,0.27,0.37,0.24,0.33,0.0
breakfast,0.0,0.0,0.0,0.05,0.0,0.0
bye or bye bye,0.0,0.82,0.68,0.86,0.83,1.0
dinner,0.0,0.0,0.05,0.0,0.0,0.0
don't,0.0,0.18,0.16,0.14,0.0,0.0
hello,0.0,0.45,0.21,0.52,0.67,0.0
hi,0.0,0.55,0.32,0.52,0.67,0.0
lunch,0.0,0.0,0.05,0.05,0.17,0.0
nap,0.0,0.0,0.11,0.0,0.33,0.0
night night,0.0,0.09,0.26,0.19,0.17,0.0
no,0.0,0.64,0.47,0.86,0.5,0.5
pattycake,0.0,0.09,0.0,0.05,0.17,0.5
peekaboo,0.0,0.0,0.32,0.43,0.33,0.0
please,0.0,0.0,0.16,0.29,0.17,0.0
shh/shush/hush,0.0,0.36,0.21,0.29,0.5,0.5
thank you,0.0,0.09,0.26,0.43,0.5,0.0
wait,0.0,0.0,0.05,0.0,0.0,0.0
wanna/want to,0.0,0.0,0.05,0.0,0.0,0.0
yes,0.0,0.45,0.32,0.38,0.67,0.0
bite,0.0,0.0,0.0,0.05,0.0,0.0
blow,0.0,0.0,0.0,0.1,0.0,0.0
break,0.0,0.0,0.0,0.0,0.0,0.0
bring,0.0,0.0,0.0,0.0,0.17,0.0
bump,0.0,0.0,0.0,0.0,0.0,0.0
clean (action),0.0,0.09,0.0,0.14,0.0,0.0
close,0.0,0.09,0.05,0.05,0.17,0.0
cry,0.0,0.09,0.0,0.0,0.17,0.0
dance,0.0,0.09,0.11,0.1,0.33,0.0
draw,0.0,0.0,0.0,0.0,0.0,0.0
drink (action),0.0,0.0,0.05,0.05,0.17,0.0
drive,0.0,0.0,0.0,0.0,0.0,0.0
eat,0.0,0.0,0.05,0.0,0.17,0.0
fall,0.0,0.0,0.05,0.05,0.0,0.0
feed,0.0,0.0,0.05,0.0,0.0,0.0
finish,0.0,0.0,0.16,0.05,0.17,0.0
get,0.0,0.0,0.0,0.0,0.0,0.0
give,0.0,0.09,0.0,0.0,0.17,0.0
go,0.0,0.09,0.16,0.1,0.5,0.0
help,0.0,0.0,0.0,0.0,0.0,0.0
hit,0.0,0.0,0.0,0.0,0.0,0.0
hug,0.0,0.09,0.0,0.05,0.33,0.0
hurry,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.0,0.0,0.05,0.0,0.0
kick,0.0,0.0,0.0,0.05,0.0,0.0
kiss,0.0,0.09,0.05,0.1,0.17,0.0
look,0.0,0.0,0.0,0.05,0.17,0.0
love,0.0,0.0,0.05,0.0,0.0,0.0
open,0.0,0.09,0.05,0.0,0.17,0.0
play,0.0,0.0,0.0,0.0,0.33,0.0
pull,0.0,0.0,0.0,0.0,0.0,0.0
push,0.0,0.0,0.11,0.0,0.0,0.0
put,0.0,0.09,0.0,0.0,0.0,0.0
read,0.0,0.0,0.0,0.0,0.0,0.0
ride,0.0,0.0,0.0,0.0,0.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0
say,0.0,0.0,0.0,0.0,0.0,0.0
see,0.0,0.0,0.0,0.0,0.0,0.0
show,0.0,0.0,0.0,0.0,0.0,0.0
sing,0.0,0.0,0.0,0.0,0.0,0.0
sleep,0.0,0.0,0.0,0.05,0.17,0.0
smile,0.0,0.0,0.0,0.0,0.0,0.0
splash,0.0,0.0,0.05,0.0,0.0,0.0
stop,0.0,0.0,0.05,0.05,0.17,0.0
swim,0.0,0.09,0.0,0.0,0.0,0.0
swing (action),0.0,0.0,0.0,0.0,0.0,0.0
take,0.0,0.0,0.0,0.0,0.0,0.0
throw,0.0,0.0,0.0,0.0,0.0,0.0
tickle,0.0,0.09,0.11,0.05,0.17,0.0
touch ,0.0,0.09,0.05,0.05,0.0,0.0
watch (action),0.0,0.09,0.0,0.0,0.0,0.0
walk,0.0,0.09,0.0,0.0,0.17,0.0
wash,0.0,0.09,0.05,0.0,0.0,0.0
wipe,0.0,0.09,0.0,0.0,0.0,0.0
write,0.0,0.0,0.0,0.0,0.0,0.0
day,0.0,0.09,0.0,0.0,0.0,0.0
later,0.0,0.0,0.0,0.0,0.0,0.0
morning,0.0,0.09,0.0,0.0,0.0,0.0
night,0.0,0.09,0.05,0.05,0.0,0.0
now,0.0,0.0,0.05,0.05,0.0,0.0
today,0.0,0.0,0.0,0.0,0.0,0.0
tomorrow,0.0,0.0,0.0,0.0,0.0,0.0
tonight,0.0,0.0,0.0,0.0,0.0,0.0
all gone,0.0,0.09,0.11,0.24,0.17,0.0
asleep,0.0,0.0,0.11,0.05,0.0,0.0
bad,0.0,0.18,0.05,0.1,0.33,0.0
big,0.0,0.0,0.0,0.05,0.0,0.0
blue,0.0,0.09,0.16,0.05,0.0,0.0
broken,0.0,0.0,0.0,0.05,0.17,0.0
careful,0.0,0.09,0.0,0.0,0.0,0.0
clean,0.0,0.0,0.05,0.05,0.0,0.0
cold,0.0,0.0,0.11,0.1,0.0,0.0
cute,0.0,0.0,0.0,0.0,0.0,0.0
dark,0.0,0.0,0.0,0.0,0.0,0.0
dirty,0.0,0.0,0.05,0.05,0.17,0.0
dry,0.0,0.0,0.0,0.0,0.0,0.0
empty,0.0,0.0,0.05,0.1,0.0,0.0
fast,0.0,0.0,0.05,0.0,0.0,0.0
fine,0.0,0.0,0.0,0.05,0.0,0.0
gentle,0.0,0.09,0.0,0.0,0.0,0.0
good,0.0,0.09,0.05,0.0,0.0,0.0
happy,0.0,0.09,0.05,0.1,0.17,0.0
hard,0.0,0.0,0.0,0.0,0.0,0.0
hot,0.0,0.09,0.21,0.24,0.17,0.0
hungry,0.0,0.09,0.05,0.05,0.17,0.0
hurt,0.0,0.0,0.0,0.05,0.0,0.0
little,0.0,0.0,0.0,0.0,0.0,0.0
naughty,0.0,0.0,0.0,0.0,0.0,0.0
nice,0.0,0.0,0.05,0.05,0.17,0.0
old,0.0,0.0,0.0,0.0,0.0,0.0
pretty,0.0,0.09,0.05,0.1,0.17,0.0
red,0.0,0.0,0.05,0.0,0.0,0.0
scared,0.0,0.0,0.0,0.0,0.0,0.0
sick,0.0,0.0,0.0,0.0,0.0,0.0
sleepy,0.0,0.0,0.0,0.0,0.33,0.0
soft,0.0,0.0,0.05,0.0,0.0,0.0
thirsty,0.0,0.0,0.05,0.05,0.0,0.0
tired,0.0,0.0,0.0,0.05,0.0,0.0
wet,0.0,0.0,0.0,0.05,0.0,0.0
yucky,0.0,0.0,0.11,0.24,0.33,0.0
her,0.0,0.0,0.0,0.0,0.0,0.0
his,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.09,0.0,0.14,0.0,0.0
it,0.0,0.0,0.0,0.0,0.0,0.0
me,0.0,0.09,0.0,0.29,0.17,0.0
mine,0.0,0.18,0.05,0.19,0.0,0.0
my,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.09,0.05,0.19,0.0,0.0
this,0.0,0.27,0.05,0.19,0.33,0.0
you,0.0,0.09,0.0,0.1,0.0,0.0
your,0.0,0.09,0.0,0.0,0.0,0.0
how,0.0,0.0,0.0,0.0,0.0,0.0
what,0.0,0.09,0.16,0.0,0.17,0.0
when,0.0,0.0,0.0,0.0,0.0,0.0
where,0.0,0.0,0.0,0.0,0.0,0.0
who,0.0,0.0,0.0,0.05,0.0,0.0
why,0.0,0.0,0.0,0.0,0.0,0.0
away,0.0,0.0,0.0,0.0,0.0,0.0
back,0.0,0.0,0.05,0.0,0.0,0.5
down,0.0,0.18,0.16,0.29,0.67,0.0
in,0.0,0.0,0.05,0.05,0.17,0.0
inside,0.0,0.0,0.0,0.0,0.0,0.0
off,0.0,0.0,0.05,0.05,0.17,0.0
on,0.0,0.0,0.05,0.05,0.17,0.0
out,0.0,0.0,0.05,0.05,0.0,0.0
there,0.0,0.0,0.0,0.05,0.0,0.0
under,0.0,0.0,0.0,0.0,0.0,0.0
up,0.0,0.09,0.16,0.24,0.5,0.0
all,0.0,0.0,0.0,0.05,0.0,0.0
another,0.0,0.0,0.0,0.0,0.0,0.0
more,0.0,0.0,0.32,0.29,0.5,0.0
none,0.0,0.0,0.0,0.05,0.0,0.0
not,0.0,0.09,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0
same,0.0,0.0,0.0,0.0,0.0,0.0
some,0.0,0.0,0.0,0.05,0.0,0.0
