,age_21,age_22,age_23,age_24,age_25,age_26
jump,0.0,0.25,0.44,0.41,0.36,0.0
kick,0.0,0.25,0.19,0.29,0.36,0.0
kiss,0.0,0.25,0.5,0.65,0.64,1.0
knock,0.0,0.25,0.19,0.18,0.36,0.0
lick,0.0,0.0,0.0,0.35,0.09,0.0
like,0.0,0.25,0.19,0.29,0.09,0.0
listen,0.0,0.0,0.12,0.24,0.27,0.0
look,0.0,0.25,0.31,0.41,0.36,0.0
love,0.0,0.25,0.31,0.53,0.45,0.0
make,0.0,0.0,0.12,0.18,0.09,0.0
open,0.0,0.25,0.44,0.47,0.55,0.0
paint,0.0,0.25,0.19,0.12,0.09,0.0
pick,0.0,0.0,0.19,0.24,0.18,0.0
play,0.0,0.5,0.38,0.35,0.45,0.0
pour,0.0,0.0,0.12,0.18,0.18,0.0
pretend,0.0,0.0,0.12,0.18,0.09,0.0
pull,0.0,0.25,0.25,0.24,0.27,0.0
push,0.0,0.5,0.38,0.35,0.36,0.0
put,0.0,0.25,0.19,0.24,0.18,0.0
read,0.0,0.25,0.25,0.29,0.27,0.0
ride,0.0,0.0,0.12,0.24,0.18,0.0
rip,0.0,0.0,0.06,0.18,0.0,0.0
run,0.0,0.25,0.31,0.41,0.27,0.0
say,0.0,0.25,0.19,0.24,0.09,0.0
see,0.0,0.25,0.25,0.41,0.27,0.0
shake,0.0,0.25,0.12,0.24,0.18,0.0
share,0.0,0.25,0.19,0.18,0.27,0.0
show,0.0,0.5,0.25,0.18,0.18,0.0
sing,0.0,0.25,0.31,0.35,0.27,0.0
sit,0.5,0.25,0.44,0.59,0.45,0.0
skate,0.0,0.0,0.12,0.12,0.18,0.0
sleep,0.0,0.25,0.5,0.41,0.64,0.0
slide.1,0.0,0.25,0.25,0.29,0.18,0.0
smile,0.0,0.25,0.31,0.18,0.09,0.0
spill,0.0,0.0,0.06,0.12,0.09,0.0
splash,0.0,0.25,0.12,0.18,0.27,0.0
stand,0.0,0.25,0.19,0.18,0.36,0.0
stay,0.0,0.0,0.25,0.24,0.27,0.0
stop,0.5,0.25,0.38,0.47,0.73,0.0
sweep,0.0,0.0,0.12,0.18,0.27,0.0
swim,0.0,0.25,0.19,0.41,0.27,0.0
swing.1,0.0,0.0,0.25,0.41,0.27,0.0
take,0.0,0.0,0.25,0.18,0.36,0.0
talk,0.0,0.0,0.12,0.18,0.09,0.0
taste ,0.0,0.0,0.06,0.12,0.09,0.0
tear,0.0,0.0,0.06,0.06,0.09,0.0
think,0.0,0.0,0.06,0.12,0.09,0.0
throw,0.0,0.25,0.25,0.24,0.36,0.0
tickle,0.0,0.0,0.31,0.35,0.55,0.0
touch,0.0,0.0,0.31,0.24,0.36,0.0
wait,0.0,0.25,0.31,0.35,0.45,0.0
wake,0.0,0.0,0.12,0.24,0.18,0.0
walk,0.0,0.25,0.25,0.47,0.45,0.0
